skill,cm,UE,EU,U,E,US,F_flows,f_flows,F_short,f_short,MA_F_flows,MA_f_flows,MA_F_short,MA_f_short
"1. High",2009m12,236237,302788,1672971,3.33e+07,281260,.054102,.0556205,.1036402,.1094133,.1726702,.1918598,.1832741,.2040244
"1. High",2010m1,341777,281820,1864280,3.31e+07,364696,.2090459,.2345153,.2057352,.2303384,.1703348,.1893719,.183089,.203822
"1. High",2010m2,305512,258735,1733295,3.28e+07,252563,.1733386,.1903601,.1663998,.1820014,.1680198,.1863584,.1818705,.2020384
"1. High",2010m3,368999,241921,1674769,3.30e+07,229894,.2294609,.2606649,.1783488,.1964393,.1675325,.1855414,.1808896,.2005404
"1. High",2010m4,293185,301664,1592139,3.31e+07,216063,.181395,.2001536,.1550895,.1685245,.1668149,.1847446,.1774718,.1965997
"1. High",2010m5,275378,326899,1630232,3.30e+07,285017,.2296483,.2609081,.2428526,.2781973,.1659696,.1839598,.1754262,.1944045
"1. High",2010m6,302645,403098,1658950,3.33e+07,424624,.0504868,.0518058,.1510455,.1637497,.1703926,.1892046,.1807632,.200811
"1. High",2010m7,368103,295152,1870347,3.29e+07,461974,.1699155,.1862278,.1896279,.2102618,.1713221,.19005,.1825557,.2028085
"1. High",2010m8,478066,251212,1803758,3.30e+07,288081,.1769921,.1947895,.2373556,.2709634,.1699565,.1883645,.181313,.2012776
"1. High",2010m9,323156,242449,1726956,3.37e+07,351330,.1966362,.2189476,.1902677,.2110516,.1702775,.1888245,.1824041,.2026424
"1. High",2010m10,264128,297607,1684981,3.35e+07,286609,.1115746,.1183045,.0880716,.0921938,.1721445,.1911924,.1854406,.2063636
"1. High",2010m11,287623,274087,1771067,3.32e+07,234485,.2389029,.2729943,.2270823,.2575827,.1670087,.1851762,.1845161,.2050966
"1. High",2010m12,257653,281535,1629489,3.35e+07,260600,.1005272,.1059465,.1709229,.1874421,.1628724,.1800531,.1823526,.2023132
"1. High",2011m1,261183,208915,1674596,3.36e+07,323624,.1849276,.2044783,.1814742,.2002504,.1679178,.1860171,.1850526,.2057168
"1. High",2011m2,243986,242481,1607398,3.37e+07,236698,.1646842,.1799454,.1608345,.1753473,.1750046,.1950943,.1893939,.2114287
"1. High",2011m3,319555,251749,1594434,3.41e+07,245561,.2458176,.2821211,.2101003,.2358493,.1756551,.1963456,.1917771,.2146313
"1. High",2011m4,209929,299621,1502115,3.42e+07,242672,.2098461,.2355276,.196214,.2184222,.1747209,.1952014,.1973967,.2212886
"1. High",2011m5,291440,335104,1522006,3.35e+07,314627,.0779386,.0811434,.1795413,.1978918,.1769376,.1977316,.2001616,.2243948
"1. High",2011m6,307007,297636,1701019,3.30e+07,452276,.1029259,.1086169,.1624332,.1772543,.1755442,.1961139,.1963918,.2197726
"1. High",2011m7,367125,271243,1797183,3.34e+07,372466,.2385667,.2725527,.2430398,.2784446,.1736286,.1939048,.1943462,.2173289
"1. High",2011m8,514865,334353,1702788,3.35e+07,342392,.2784234,.3263167,.2881334,.3398647,.1750836,.1957385,.1968402,.2204932
"1. High",2011m9,289873,300302,1528994,3.41e+07,316836,.1108167,.1174518,.1966881,.2190123,.1762852,.1971561,.2015992,.2265128
"1. High",2011m10,285916,228101,1587657,3.43e+07,359398,.1749736,.1923399,.2165203,.2440102,.1792826,.2012773,.2042629,.2299267
"1. High",2011m11,239443,228178,1538037,3.41e+07,294140,.2287045,.2596837,.1649928,.1803149,.1851481,.2088096,.2049085,.2307824
"1. High",2011m12,271062,330602,1516883,3.45e+07,232611,.0772828,.0804325,.1425357,.1537758,.1831383,.2067485,.2012214,.2265241
"1. High",2012m1,360682,285490,1685144,3.45e+07,384471,.1621986,.1769742,.160769,.1752693,.1775612,.2004155,.1985987,.2236065
"1. High",2012m2,311807,246883,1658699,3.45e+07,244474,.2223339,.251458,.2413934,.2762719,.1726405,.194003,.1986094,.2235927
"1. High",2012m3,310395,232218,1522132,3.54e+07,263832,.2170055,.2446296,.2437574,.2793931,.174826,.1963235,.2008381,.2264414
"1. High",2012m4,242202,211772,1403593,3.48e+07,252492,.3105957,.3719274,.2264866,.2568123,.1809816,.2038,.2023021,.2283933
"1. High",2012m5,285399,376374,1344017,3.47e+07,258319,.1179613,.1255194,.1647628,.1800395,.1788837,.2011923,.201006,.226774
"1. High",2012m6,311615,384904,1570379,3.41e+07,447806,.0146678,.0147764,.0887206,.0929058,.1774912,.1992509,.2026981,.2287984
"1. High",2012m7,422889,291848,1839193,3.43e+07,408139,.1929749,.2144004,.2538086,.2927731,.1774188,.1990717,.2040906,.2304689
"1. High",2012m8,445697,227035,1711310,3.49e+07,338920,.2059177,.2305682,.2776206,.3252048,.177145,.1989716,.2035596,.2298218
"1. High",2012m9,306416,183413,1542334,3.51e+07,306119,.2357751,.2688932,.2606913,.3020397,.1750507,.1965827,.1991472,.2243399
"1. High",2012m10,269923,229374,1408064,3.58e+07,267803,.1977488,.2203335,.1876534,.2078282,.1701018,.190297,.196235,.220839
"1. High",2012m11,236409,268963,1398584,3.53e+07,254748,.1555795,.1691047,.162751,.1776338,.1703211,.1901914,.1996042,.2251134
"1. High",2012m12,300405,269217,1450210,3.55e+07,279247,.1169893,.1244179,.1853883,.2050437,.1769302,.1974682,.2056056,.2322197
"1. High",2013m1,282210,244559,1525110,3.54e+07,343752,.1207526,.128689,.1513366,.1640927,.1830715,.2043196,.2102803,.2377731
"1. High",2013m2,260788,234540,1575489,3.57e+07,281184,.2572097,.2973415,.2380829,.2719175,.1901283,.2139627,.2092267,.2363611
"1. High",2013m3,255997,239861,1410119,3.61e+07,209727,.1318676,.141411,.1411689,.152183,.1913303,.2164134,.2075855,.2341531
"1. High",2013m4,280176,245102,1469272,3.63e+07,258218,.2769589,.3242893,.2591821,.3000004,.1875961,.2118988,.2118212,.2397188
"1. High",2013m5,250767,356782,1419126,3.58e+07,330663,.156862,.1706247,.2129282,.2394359,,,,
"1. High",2013m6,330950,349306,1545825,3.51e+07,428871,.1343846,.1443145,.1845882,.204062,,,,
"1. High",2013m7,429377,274766,1612856,3.47e+07,352372,.2206496,.2492945,.2701357,.3148966,,,,
"1. High",2013m8,359469,234020,1491000,3.58e+07,313834,.347607,.4271081,.236006,.2691954,,,,
"1. High",2013m9,295829,405193,1377911,3.60e+07,238796,.1229317,.1311705,.2629183,.3050565,,,,
"1. High",2013m10,350865,197075,1405597,3.65e+07,389964,.2209716,.2497078,.2870816,.3383883,,,,
"1. High",2013m11,238869,178838,1273838,3.63e+07,271762,,,,,,,,
