native,skill,cm,hourwage,MA_wage
"1. Native","1. High",1998m7,15.64,15.85591
"1. Native","1. High",1998m8,15.77,15.90366
"1. Native","1. High",1998m9,15.39,15.97269
"1. Native","1. High",1998m10,16.86,15.9923
"1. Native","1. High",1998m11,16.09,16.01671
"1. Native","1. High",1998m12,16.35,16.11811
"1. Native","1. High",1999m1,15.82,16.20569
"1. Native","1. High",1999m2,16.53,16.28819
"1. Native","1. High",1999m3,16.34,16.40053
"1. Native","1. High",1999m4,15.46,16.46
"1. Native","1. High",1999m5,16.95,16.52142
"1. Native","1. High",1999m6,16.89,16.60316
"1. Native","1. High",1999m7,16.41,16.69678
"1. Native","1. High",1999m8,16.98,16.8024
"1. Native","1. High",1999m9,16.88,16.82886
"1. Native","1. High",1999m10,16.80,16.85956
"1. Native","1. High",1999m11,17.62,16.89151
"1. Native","1. High",1999m12,16.77,16.92199
"1. Native","1. High",2000m1,17.64,17.0056
"1. Native","1. High",2000m2,17.24,17.0466
"1. Native","1. High",2000m3,16.26,17.04416
"1. Native","1. High",2000m4,16.28,17.10268
"1. Native","1. High",2000m5,16.89,17.12164
"1. Native","1. High",2000m6,17.68,17.13002
"1. Native","1. High",2000m7,17.64,17.22063
"1. Native","1. High",2000m8,16.74,17.31083
"1. Native","1. High",2000m9,17.06,17.39404
"1. Native","1. High",2000m10,18.02,17.50382
"1. Native","1. High",2000m11,16.85,17.61257
"1. Native","1. High",2000m12,17.74,17.76373
"1. Native","1. High",2001m1,18.85,17.89474
"1. Native","1. High",2001m2,18.20,17.98388
"1. Native","1. High",2001m3,17.30,18.08699
"1. Native","1. High",2001m4,17.87,18.13578
"1. Native","1. High",2001m5,17.91,18.20666
"1. Native","1. High",2001m6,20.29,18.26969
"1. Native","1. High",2001m7,18.17,18.28528
"1. Native","1. High",2001m8,18.35,18.35805
"1. Native","1. High",2001m9,17.92,18.46034
"1. Native","1. High",2001m10,18.33,18.49418
"1. Native","1. High",2001m11,18.25,18.47674
"1. Native","1. High",2001m12,17.86,18.39374
"1. Native","1. High",2002m1,19.10,18.34786
"1. Native","1. High",2002m2,19.69,18.40299
"1. Native","1. High",2002m3,18.26,18.4418
"1. Native","1. High",2002m4,17.72,18.46333
"1. Native","1. High",2002m5,17.64,18.48995
"1. Native","1. High",2002m6,18.57,18.54458
"1. Native","1. High",2002m7,18.79,18.55045
"1. Native","1. High",2002m8,19.05,18.48516
"1. Native","1. High",2002m9,18.15,18.50233
"1. Native","1. High",2002m10,18.61,18.58384
"1. Native","1. High",2002m11,18.60,18.68885
"1. Native","1. High",2002m12,18.82,18.79554
"1. Native","1. High",2003m1,18.28,18.79302
"1. Native","1. High",2003m2,18.94,18.70284
"1. Native","1. High",2003m3,19.43,18.69388
"1. Native","1. High",2003m4,18.51,18.74624
"1. Native","1. High",2003m5,19.37,18.77526
"1. Native","1. High",2003m6,19.40,18.81208
"1. Native","1. High",2003m7,17.89,18.84489
"1. Native","1. High",2003m8,17.78,18.85893
"1. Native","1. High",2003m9,19.21,18.85952
"1. Native","1. High",2003m10,18.82,18.86276
"1. Native","1. High",2003m11,19.10,18.84883
"1. Native","1. High",2003m12,19.21,18.81897
"1. Native","1. High",2004m1,18.68,18.85358
"1. Native","1. High",2004m2,18.88,18.95836
"1. Native","1. High",2004m3,19.50,19.02708
"1. Native","1. High",2004m4,18.52,19.06652
"1. Native","1. High",2004m5,19.03,19.11736
"1. Native","1. High",2004m6,19.02,19.12922
"1. Native","1. High",2004m7,19.11,19.13845
"1. Native","1. High",2004m8,19.08,19.23199
"1. Native","1. High",2004m9,19.55,19.29107
"1. Native","1. High",2004m10,19.42,19.2964
"1. Native","1. High",2004m11,19.72,19.33812
"1. Native","1. High",2004m12,18.87,19.37051
"1. Native","1. High",2005m1,19.24,19.34453
"1. Native","1. High",2005m2,20.57,19.30669
"1. Native","1. High",2005m3,19.23,19.29044
"1. Native","1. High",2005m4,18.92,19.32675
"1. Native","1. High",2005m5,19.63,19.3752
"1. Native","1. High",2005m6,19.20,19.44287
"1. Native","1. High",2005m7,18.31,19.53421
"1. Native","1. High",2005m8,18.97,19.5567
"1. Native","1. High",2005m9,19.27,19.60939
"1. Native","1. High",2005m10,20.57,19.67693
"1. Native","1. High",2005m11,19.73,19.69584
"1. Native","1. High",2005m12,20.49,19.75475
"1. Native","1. High",2006m1,19.82,19.86988
"1. Native","1. High",2006m2,20.53,19.97006
"1. Native","1. High",2006m3,20.54,20.03549
"1. Native","1. High",2006m4,19.23,20.03843
"1. Native","1. High",2006m5,19.77,20.02734
"1. Native","1. High",2006m6,20.47,20.07071
"1. Native","1. High",2006m7,19.79,20.08346
"1. Native","1. High",2006m8,19.89,20.05979
"1. Native","1. High",2006m9,19.92,20.08382
"1. Native","1. High",2006m10,19.99,20.15407
"1. Native","1. High",2006m11,20.04,20.25424
"1. Native","1. High",2006m12,21.21,20.343
"1. Native","1. High",2007m1,19.40,20.40758
"1. Native","1. High",2007m2,20.38,20.45664
"1. Native","1. High",2007m3,21.26,20.48141
"1. Native","1. High",2007m4,20.19,20.50361
"1. Native","1. High",2007m5,21.21,20.5331
"1. Native","1. High",2007m6,21.16,20.57092
"1. Native","1. High",2007m7,20.66,20.68444
"1. Native","1. High",2007m8,20.21,20.79888
"1. Native","1. High",2007m9,20.20,20.8398
"1. Native","1. High",2007m10,20.24,20.88215
"1. Native","1. High",2007m11,20.50,20.85407
"1. Native","1. High",2007m12,21.67,20.82516
"1. Native","1. High",2008m1,21.67,20.85547
"1. Native","1. High",2008m2,20.86,20.92583
"1. Native","1. High",2008m3,21.77,21.0268
"1. Native","1. High",2008m4,20.70,21.14089
"1. Native","1. High",2008m5,20.03,21.27194
"1. Native","1. High",2008m6,21.65,21.34319
"1. Native","1. High",2008m7,20.90,21.37562
"1. Native","1. High",2008m8,21.66,21.44317
"1. Native","1. High",2008m9,21.18,21.49609
"1. Native","1. High",2008m10,22.00,21.51593
"1. Native","1. High",2008m11,21.88,21.57039
"1. Native","1. High",2008m12,22.00,21.58764
"1. Native","1. High",2009m1,22.12,21.60528
"1. Native","1. High",2009m2,22.03,21.61121
"1. Native","1. High",2009m3,21.87,21.60899
"1. Native","1. High",2009m4,21.08,21.6189
"1. Native","1. High",2009m5,20.96,21.57617
"1. Native","1. High",2009m6,21.13,21.47723
"1. Native","1. High",2009m7,21.83,21.39699
"1. Native","1. High",2009m8,20.86,21.36144
"1. Native","1. High",2009m9,21.92,21.3004
"1. Native","1. High",2009m10,21.50,21.25424
"1. Native","1. High",2009m11,21.36,21.24761
"1. Native","1. High",2009m12,20.14,21.29076
"1. Native","1. High",2010m1,22.05,21.29922
"1. Native","1. High",2010m2,21.25,21.30385
"1. Native","1. High",2010m3,21.18,21.31886
"1. Native","1. High",2010m4,20.66,21.31015
"1. Native","1. High",2010m5,21.22,21.3227
"1. Native","1. High",2010m6,21.91,21.40829
"1. Native","1. High",2010m7,21.26,21.50472
"1. Native","1. High",2010m8,21.54,21.55337
"1. Native","1. High",2010m9,21.60,21.61316
"1. Native","1. High",2010m10,21.61,21.6272
"1. Native","1. High",2010m11,21.55,21.63621
"1. Native","1. High",2010m12,22.01,21.65765
"1. Native","1. High",2011m1,22.50,21.68868
"1. Native","1. High",2011m2,21.97,21.73542
"1. Native","1. High",2011m3,21.90,21.745
"1. Native","1. High",2011m4,20.28,21.76694
"1. Native","1. High",2011m5,21.82,21.83287
"1. Native","1. High",2011m6,21.82,21.88743
"1. Native","1. High",2011m7,22.09,21.89967
"1. Native","1. High",2011m8,21.84,21.90202
"1. Native","1. High",2011m9,21.54,21.91628
"1. Native","1. High",2011m10,22.20,21.99234
"1. Native","1. High",2011m11,22.54,22.02651
"1. Native","1. High",2011m12,22.32,22.06588
"1. Native","1. High",2012m1,22.47,22.12779
"1. Native","1. High",2012m2,22.05,22.11145
"1. Native","1. High",2012m3,22.16,22.11874
"1. Native","1. High",2012m4,21.84,22.14826
"1. Native","1. High",2012m5,21.08,22.16668
"1. Native","1. High",2012m6,23.51,22.15974
"1. Native","1. High",2012m7,21.89,22.13347
"1. Native","1. High",2012m8,21.65,22.12444
"1. Native","1. High",2012m9,21.90,22.1518
"1. Native","1. High",2012m10,22.54,22.19906
"1. Native","1. High",2012m11,22.64,22.30762
"1. Native","1. High",2012m12,22.06,22.31355
"1. Native","1. High",2013m1,22.11,22.21934
"1. Native","1. High",2013m2,22.19,22.21392
"1. Native","1. High",2013m3,22.67,22.26113
"1. Native","1. High",2013m4,22.47,22.25501
"1. Native","1. High",2013m5,23.06,22.21641
"1. Native","1. High",2013m6,21.67,22.22836
"1. Native","1. High",2013m7,21.47,
"1. Native","1. High",2013m8,21.94,
"1. Native","1. High",2013m9,22.74,
"1. Native","1. High",2013m10,21.56,
"1. Native","1. High",2013m11,22.70,
"1. Native","1. High",2013m12,22.29,
